cvl-database-1-1/trainset/lines/0001/0001-6-0.tif	Werd ich zum Augenblicke sagen
cvl-database-1-1/trainset/lines/0001/0001-6-1.tif	Verweile doch du bist so schön
cvl-database-1-1/trainset/lines/0001/0001-6-2.tif	Dann magst du mich in Fesseln schlagen
cvl-database-1-1/trainset/lines/0001/0001-6-3.tif	Dann will ich gern zu Grunde gehn
cvl-database-1-1/trainset/lines/0001/0001-6-4.tif	Dann mag die Todtenglocke schallen
cvl-database-1-1/trainset/lines/0001/0001-6-5.tif	Dann bist du deines Dienstes frey
cvl-database-1-1/trainset/lines/0001/0001-6-6.tif	Die Uhr mag stehn der Zeiger fallen
cvl-database-1-1/trainset/lines/0001/0001-6-7.tif	Es sey die Zeit für mich vorbey
cvl-database-1-1/trainset/lines/0002/0002-6-0.tif	Werd ich zum Augenblicke sagen
cvl-database-1-1/trainset/lines/0002/0002-6-1.tif	Verweile doch du bist so schön
cvl-database-1-1/trainset/lines/0002/0002-6-2.tif	Dann magst du mich Fesseln schlagen
cvl-database-1-1/trainset/lines/0002/0002-6-3.tif	Dann will ich gern zu Grunde gehn
cvl-database-1-1/trainset/lines/0002/0002-6-4.tif	Dann mag die Todtenglocke schallen
cvl-database-1-1/trainset/lines/0002/0002-6-5.tif	Dann bist du deines Dienstes frey
cvl-database-1-1/trainset/lines/0002/0002-6-6.tif	Die Uhr mag stehn der Zeiger fallen
cvl-database-1-1/trainset/lines/0002/0002-6-7.tif	Es sey die Zeit für mich vorbey
cvl-database-1-1/trainset/lines/0003/0003-6-0.tif	Werd ich zum Augenblicke sagen
cvl-database-1-1/trainset/lines/0003/0003-6-1.tif	Verweile doch du bist so schön
cvl-database-1-1/trainset/lines/0003/0003-6-2.tif	Dann magst du mich in Fesseln schlagen
cvl-database-1-1/trainset/lines/0003/0003-6-3.tif	Dann will ich gern zu Grunde gehn
cvl-database-1-1/trainset/lines/0003/0003-6-4.tif	Dann mag die Todtenglocke schallen
cvl-database-1-1/trainset/lines/0003/0003-6-5.tif	Dann bist du deines Dienstes frey
cvl-database-1-1/trainset/lines/0003/0003-6-6.tif	Die Uhr mag stehn der Zeiger fallen
cvl-database-1-1/trainset/lines/0003/0003-6-7.tif	Es sey die Zeit für mich vorbey
cvl-database-1-1/trainset/lines/0004/0004-6-0.tif	Werd ich zum Augenblicke sagen
cvl-database-1-1/trainset/lines/0004/0004-6-1.tif	Verweile doch du bist so schön
cvl-database-1-1/trainset/lines/0004/0004-6-2.tif	Dann magst du mich in Fesseln schlagen
cvl-database-1-1/trainset/lines/0004/0004-6-3.tif	Dann will ich gern zu Grunde gehn
cvl-database-1-1/trainset/lines/0004/0004-6-4.tif	Dann mag die Todtenglocke schallen
cvl-database-1-1/trainset/lines/0004/0004-6-5.tif	Dann bist du deines Dienstes frey
cvl-database-1-1/trainset/lines/0004/0004-6-6.tif	Die Uhr mag stehn der Zeiger fallen
cvl-database-1-1/trainset/lines/0004/0004-6-7.tif	Es sey die Zeit für mich vorbey
cvl-database-1-1/trainset/lines/0005/0005-6-0.tif	Werd ich zum Augenblicke sagen
cvl-database-1-1/trainset/lines/0005/0005-6-1.tif	Verweile doch du bist so schön
cvl-database-1-1/trainset/lines/0005/0005-6-2.tif	Dann magst du mich in Fesseln schlagen
cvl-database-1-1/trainset/lines/0005/0005-6-3.tif	Dann will ich gern zu Grunde gehn
cvl-database-1-1/trainset/lines/0005/0005-6-4.tif	Dann mag die Todtenglocke schallen
cvl-database-1-1/trainset/lines/0005/0005-6-5.tif	Dann bist du deines Dienstes frey
cvl-database-1-1/trainset/lines/0005/0005-6-6.tif	Die Uhr mag stehn der Zeiger fallen
cvl-database-1-1/trainset/lines/0005/0005-6-7.tif	Es sey die Zeit für mich vorbey
cvl-database-1-1/trainset/lines/0012/0012-6-0.tif	Werd ich zum Augenblicke sagen
cvl-database-1-1/trainset/lines/0012/0012-6-1.tif	Verweile doch du bist so schön Dann
cvl-database-1-1/trainset/lines/0012/0012-6-2.tif	magst du mich in Fesseln schlagen
cvl-database-1-1/trainset/lines/0012/0012-6-3.tif	Dann will ich gern zu Grunde gehn
cvl-database-1-1/trainset/lines/0012/0012-6-4.tif	Dann mag die Todtenglocke schallen
cvl-database-1-1/trainset/lines/0012/0012-6-5.tif	Dann bist du deines Dienstes frey
cvl-database-1-1/trainset/lines/0012/0012-6-6.tif	Die Uhr mag stehn der Zeiger fallen
cvl-database-1-1/trainset/lines/0012/0012-6-7.tif	Es sey die Zeit für mich vorbey
cvl-database-1-1/trainset/lines/0013/0013-6-0.tif	Werd ich zum Augenblicke sagen
cvl-database-1-1/trainset/lines/0013/0013-6-1.tif	Verweile doch du bist so schön
cvl-database-1-1/trainset/lines/0013/0013-6-2.tif	Dann magst du mich in Fesseln schlagen
cvl-database-1-1/trainset/lines/0013/0013-6-3.tif	Dann will ich gern zu Grunde gehn
cvl-database-1-1/trainset/lines/0013/0013-6-4.tif	Dann mag die Todtenglocke schallen
cvl-database-1-1/trainset/lines/0013/0013-6-5.tif	Dann bist du deines Dienstes frey
cvl-database-1-1/trainset/lines/0013/0013-6-6.tif	Die Uhr mag stehn der Zeiger fallen
cvl-database-1-1/trainset/lines/0013/0013-6-7.tif	Es sey die Zeit für mich vorbey
cvl-database-1-1/trainset/lines/0014/0014-6-0.tif	Werd ich zum Augenblicke sagen
cvl-database-1-1/trainset/lines/0014/0014-6-1.tif	Verweile doch du bist so schön
cvl-database-1-1/trainset/lines/0014/0014-6-2.tif	Dann magst du mich in Fesseln schlagen
cvl-database-1-1/trainset/lines/0014/0014-6-3.tif	Dann will ich gern zu Grunde gehn
cvl-database-1-1/trainset/lines/0014/0014-6-4.tif	Dann mag die Todtenglocke schallen
cvl-database-1-1/trainset/lines/0014/0014-6-5.tif	Dann bist du deines Dienstes frey
cvl-database-1-1/trainset/lines/0014/0014-6-6.tif	Die Uhr mag stehn der Zeiger fallen
cvl-database-1-1/trainset/lines/0014/0014-6-7.tif	Es sey die Zeit für mich vorbey
cvl-database-1-1/trainset/lines/0015/0015-6-0.tif	Werd ich zum Augenblicke sagen
cvl-database-1-1/trainset/lines/0015/0015-6-1.tif	Verweile doch du bist so schön
cvl-database-1-1/trainset/lines/0015/0015-6-2.tif	Dann magst du mich in Fesseln schlagen
cvl-database-1-1/trainset/lines/0015/0015-6-3.tif	Dann will ich gern zu Grunde gehn
cvl-database-1-1/trainset/lines/0015/0015-6-4.tif	Dann mag die Todtenglocke schallen
cvl-database-1-1/trainset/lines/0015/0015-6-5.tif	Dann bist du deines Dienstes frey
cvl-database-1-1/trainset/lines/0015/0015-6-6.tif	Die Uhr mag stehn der Zeiger fallen
cvl-database-1-1/trainset/lines/0015/0015-6-7.tif	Es sey die Zeit für mich vorbey
cvl-database-1-1/trainset/lines/0016/0016-6-0.tif	Werd ich zum Augenblicke sagen
cvl-database-1-1/trainset/lines/0016/0016-6-1.tif	Verweile doch du bist so schön
cvl-database-1-1/trainset/lines/0016/0016-6-2.tif	Dann magst du mich in Fesseln schlagen
cvl-database-1-1/trainset/lines/0016/0016-6-3.tif	Dann will ich gern zu Grunde gehn
cvl-database-1-1/trainset/lines/0016/0016-6-4.tif	Dann mag die Todtenglocke schallen
cvl-database-1-1/trainset/lines/0016/0016-6-5.tif	Dann bist du deines Dienstes frey
cvl-database-1-1/trainset/lines/0016/0016-6-6.tif	Die Uhr mag stehn der Zeiger fallen
cvl-database-1-1/trainset/lines/0016/0016-6-7.tif	Es sey die Zeit für mich vorbey
cvl-database-1-1/trainset/lines/0017/0017-6-0.tif	Werd ich zum Augenblicke sagen
cvl-database-1-1/trainset/lines/0017/0017-6-1.tif	Verweile doch du bist so schön
cvl-database-1-1/trainset/lines/0017/0017-6-2.tif	Dann magst du mich in Fesseln schlagen
cvl-database-1-1/trainset/lines/0017/0017-6-3.tif	Dann will ich gern zu Grunde gehn
cvl-database-1-1/trainset/lines/0017/0017-6-4.tif	Dann mag die Todtenglocke schallen
cvl-database-1-1/trainset/lines/0017/0017-6-5.tif	Dann bist du deines Dienstes frey
cvl-database-1-1/trainset/lines/0017/0017-6-6.tif	Die Uhr mag stehn der Zeiger fallen
cvl-database-1-1/trainset/lines/0017/0017-6-7.tif	Es sey die Zeit für mich vorbey
cvl-database-1-1/trainset/lines/0018/0018-6-0.tif	Werd ich zum Augenblicke sagen
cvl-database-1-1/trainset/lines/0018/0018-6-1.tif	Verweile doch du bist so schön
cvl-database-1-1/trainset/lines/0018/0018-6-2.tif	Dann magst du mich in Fesseln schlagen
cvl-database-1-1/trainset/lines/0018/0018-6-3.tif	Dann will ich gern zu Grunde gehn
cvl-database-1-1/trainset/lines/0018/0018-6-4.tif	Dann mag die Todtenglocke schallen
cvl-database-1-1/trainset/lines/0018/0018-6-5.tif	Dann bist du deines Dienstes frey
cvl-database-1-1/trainset/lines/0018/0018-6-6.tif	Die Uhr mag stehn der Zeiger fallen
cvl-database-1-1/trainset/lines/0018/0018-6-7.tif	Es sey die Zeit für mich vorbey
cvl-database-1-1/trainset/lines/0020/0020-6-0.tif	Werd ich zum Augenblicke sagen
